,response,context,context/0,context/1,context/2,context/3,context/4,context/5
123,1 -Er det trygt å komme inn?,2 Du kjenner Monica.,"1 Hallo, sir.",2 Jeg skal iallfall titte.,1 Skal vi ikke titte?,2 Kom.,1 Kom igjen.,2 -Nei!
124,2 -Selvsagt.,1 -Er det trygt å komme inn?,2 Du kjenner Monica.,"1 Hallo, sir.",2 Jeg skal iallfall titte.,1 Skal vi ikke titte?,2 Kom.,1 Kom igjen.
125,"1 Ringen er nydelig, Joey.",2 -Selvsagt.,1 -Er det trygt å komme inn?,2 Du kjenner Monica.,"1 Hallo, sir.",2 Jeg skal iallfall titte.,1 Skal vi ikke titte?,2 Kom.
126,2 Jeg elsker den.,"1 Ringen er nydelig, Joey.",2 -Selvsagt.,1 -Er det trygt å komme inn?,2 Du kjenner Monica.,"1 Hallo, sir.",2 Jeg skal iallfall titte.,1 Skal vi ikke titte?
127,1 Det er noe jeg må fortelle deg.,2 Jeg elsker den.,"1 Ringen er nydelig, Joey.",2 -Selvsagt.,1 -Er det trygt å komme inn?,2 Du kjenner Monica.,"1 Hallo, sir.",2 Jeg skal iallfall titte.
128,2 Ok.,1 Det er noe jeg må fortelle deg.,2 Jeg elsker den.,"1 Ringen er nydelig, Joey.",2 -Selvsagt.,1 -Er det trygt å komme inn?,2 Du kjenner Monica.,"1 Hallo, sir."
129,"1 Hei, Emma.",2 Ok.,1 Det er noe jeg må fortelle deg.,2 Jeg elsker den.,"1 Ringen er nydelig, Joey.",2 -Selvsagt.,1 -Er det trygt å komme inn?,2 Du kjenner Monica.
130,2 Hvorfor vil hun ikke ha pupp?,"1 Hei, Emma.",2 Ok.,1 Det er noe jeg må fortelle deg.,2 Jeg elsker den.,"1 Ringen er nydelig, Joey.",2 -Selvsagt.,1 -Er det trygt å komme inn?
131,1 Noen unger skjønner det ikke,2 Hvorfor vil hun ikke ha pupp?,"1 Hei, Emma.",2 Ok.,1 Det er noe jeg må fortelle deg.,2 Jeg elsker den.,"1 Ringen er nydelig, Joey.",2 -Selvsagt.
132,med en gang. Det kommer nok.,1 Noen unger skjønner det ikke,2 Hvorfor vil hun ikke ha pupp?,"1 Hei, Emma.",2 Ok.,1 Det er noe jeg må fortelle deg.,2 Jeg elsker den.,"1 Ringen er nydelig, Joey."
133,2 Du klarer det.,med en gang. Det kommer nok.,1 Noen unger skjønner det ikke,2 Hvorfor vil hun ikke ha pupp?,"1 Hei, Emma.",2 Ok.,1 Det er noe jeg må fortelle deg.,2 Jeg elsker den.
134,1 Gap opp og ta den i munnen.,2 Du klarer det.,med en gang. Det kommer nok.,1 Noen unger skjønner det ikke,2 Hvorfor vil hun ikke ha pupp?,"1 Hei, Emma.",2 Ok.,1 Det er noe jeg må fortelle deg.
135,2 Kjære Gud!,1 Gap opp og ta den i munnen.,2 Du klarer det.,med en gang. Det kommer nok.,1 Noen unger skjønner det ikke,2 Hvorfor vil hun ikke ha pupp?,"1 Hei, Emma.",2 Ok.
136,1 Beklager.,2 Kjære Gud!,1 Gap opp og ta den i munnen.,2 Du klarer det.,med en gang. Det kommer nok.,1 Noen unger skjønner det ikke,2 Hvorfor vil hun ikke ha pupp?,"1 Hei, Emma."
137,2 Hva var det du sa?,1 Beklager.,2 Kjære Gud!,1 Gap opp og ta den i munnen.,2 Du klarer det.,med en gang. Det kommer nok.,1 Noen unger skjønner det ikke,2 Hvorfor vil hun ikke ha pupp?
138,1 -Hun ser redd ut. lkke sant?,2 Hva var det du sa?,1 Beklager.,2 Kjære Gud!,1 Gap opp og ta den i munnen.,2 Du klarer det.,med en gang. Det kommer nok.,1 Noen unger skjønner det ikke
139,2 -Jeg kjenner henne ikke.,1 -Hun ser redd ut. lkke sant?,2 Hva var det du sa?,1 Beklager.,2 Kjære Gud!,1 Gap opp og ta den i munnen.,2 Du klarer det.,med en gang. Det kommer nok.
140,1 La oss prøve å massere brystene.,2 -Jeg kjenner henne ikke.,1 -Hun ser redd ut. lkke sant?,2 Hva var det du sa?,1 Beklager.,2 Kjære Gud!,1 Gap opp og ta den i munnen.,2 Du klarer det.
141,2 Spøker du med meg?,1 La oss prøve å massere brystene.,2 -Jeg kjenner henne ikke.,1 -Hun ser redd ut. lkke sant?,2 Hva var det du sa?,1 Beklager.,2 Kjære Gud!,1 Gap opp og ta den i munnen.
142,1 Hvorfor vil hun ikke ha puppen min?,2 Spøker du med meg?,1 La oss prøve å massere brystene.,2 -Jeg kjenner henne ikke.,1 -Hun ser redd ut. lkke sant?,2 Hva var det du sa?,1 Beklager.,2 Kjære Gud!
143,2 Jeg vet ikke!,1 Hvorfor vil hun ikke ha puppen min?,2 Spøker du med meg?,1 La oss prøve å massere brystene.,2 -Jeg kjenner henne ikke.,1 -Hun ser redd ut. lkke sant?,2 Hva var det du sa?,1 Beklager.
144,Kanskje hun er gal!,2 Jeg vet ikke!,1 Hvorfor vil hun ikke ha puppen min?,2 Spøker du med meg?,1 La oss prøve å massere brystene.,2 -Jeg kjenner henne ikke.,1 -Hun ser redd ut. lkke sant?,2 Hva var det du sa?
145,1 Vent!,Kanskje hun er gal!,2 Jeg vet ikke!,1 Hvorfor vil hun ikke ha puppen min?,2 Spøker du med meg?,1 La oss prøve å massere brystene.,2 -Jeg kjenner henne ikke.,1 -Hun ser redd ut. lkke sant?
146,2 Gratulerer! Jeg ville ikke si det,1 Vent!,Kanskje hun er gal!,2 Jeg vet ikke!,1 Hvorfor vil hun ikke ha puppen min?,2 Spøker du med meg?,1 La oss prøve å massere brystene.,2 -Jeg kjenner henne ikke.
147,så Joey hørte det.,2 Gratulerer! Jeg ville ikke si det,1 Vent!,Kanskje hun er gal!,2 Jeg vet ikke!,1 Hvorfor vil hun ikke ha puppen min?,2 Spøker du med meg?,1 La oss prøve å massere brystene.
148,1 Han vet at vi har fått barn.,så Joey hørte det.,2 Gratulerer! Jeg ville ikke si det,1 Vent!,Kanskje hun er gal!,2 Jeg vet ikke!,1 Hvorfor vil hun ikke ha puppen min?,2 Spøker du med meg?
149,2 Han er ikke så dum.,1 Han vet at vi har fått barn.,så Joey hørte det.,2 Gratulerer! Jeg ville ikke si det,1 Vent!,Kanskje hun er gal!,2 Jeg vet ikke!,1 Hvorfor vil hun ikke ha puppen min?
150,1 Nei!,2 Han er ikke så dum.,1 Han vet at vi har fått barn.,så Joey hørte det.,2 Gratulerer! Jeg ville ikke si det,1 Vent!,Kanskje hun er gal!,2 Jeg vet ikke!
151,2 Tenk at du og Rachel er forlovet!,1 Nei!,2 Han er ikke så dum.,1 Han vet at vi har fått barn.,så Joey hørte det.,2 Gratulerer! Jeg ville ikke si det,1 Vent!,Kanskje hun er gal!
152,1 Er det en hemmelighet? ,2 Tenk at du og Rachel er forlovet!,1 Nei!,2 Han er ikke så dum.,1 Han vet at vi har fått barn.,så Joey hørte det.,2 Gratulerer! Jeg ville ikke si det,1 Vent!
153,2 Supert!,1 Er det en hemmelighet? ,2 Tenk at du og Rachel er forlovet!,1 Nei!,2 Han er ikke så dum.,1 Han vet at vi har fått barn.,så Joey hørte det.,2 Gratulerer! Jeg ville ikke si det
154,1 Det fins ingen hemmelighet.,2 Supert!,1 Er det en hemmelighet? ,2 Tenk at du og Rachel er forlovet!,1 Nei!,2 Han er ikke så dum.,1 Han vet at vi har fått barn.,så Joey hørte det.
155,2 Jeg har ikke fridd.,1 Det fins ingen hemmelighet.,2 Supert!,1 Er det en hemmelighet? ,2 Tenk at du og Rachel er forlovet!,1 Nei!,2 Han er ikke så dum.,1 Han vet at vi har fått barn.
156,1 Lyver du? Er dette som da du ville,2 Jeg har ikke fridd.,1 Det fins ingen hemmelighet.,2 Supert!,1 Er det en hemmelighet? ,2 Tenk at du og Rachel er forlovet!,1 Nei!,2 Han er ikke så dum.
157,overbevise oss om at du er doktor?,1 Lyver du? Er dette som da du ville,2 Jeg har ikke fridd.,1 Det fins ingen hemmelighet.,2 Supert!,1 Er det en hemmelighet? ,2 Tenk at du og Rachel er forlovet!,1 Nei!
158,2 Jeg er doktor!,overbevise oss om at du er doktor?,1 Lyver du? Er dette som da du ville,2 Jeg har ikke fridd.,1 Det fins ingen hemmelighet.,2 Supert!,1 Er det en hemmelighet? ,2 Tenk at du og Rachel er forlovet!
159,1 -Jeg skal gå og prate med Rachel.,2 Jeg er doktor!,overbevise oss om at du er doktor?,1 Lyver du? Er dette som da du ville,2 Jeg har ikke fridd.,1 Det fins ingen hemmelighet.,2 Supert!,1 Er det en hemmelighet? 
160,2 -Greit. Jeg blir med.,1 -Jeg skal gå og prate med Rachel.,2 Jeg er doktor!,overbevise oss om at du er doktor?,1 Lyver du? Er dette som da du ville,2 Jeg har ikke fridd.,1 Det fins ingen hemmelighet.,2 Supert!
161,1 -Skal vi vekke henne?,2 -Greit. Jeg blir med.,1 -Jeg skal gå og prate med Rachel.,2 Jeg er doktor!,overbevise oss om at du er doktor?,1 Lyver du? Er dette som da du ville,2 Jeg har ikke fridd.,1 Det fins ingen hemmelighet.
162,2 -Nei. Hun er veldig sliten.,1 -Skal vi vekke henne?,2 -Greit. Jeg blir med.,1 -Jeg skal gå og prate med Rachel.,2 Jeg er doktor!,overbevise oss om at du er doktor?,1 Lyver du? Er dette som da du ville,2 Jeg har ikke fridd.
163,Og veldig forlovet.,2 -Nei. Hun er veldig sliten.,1 -Skal vi vekke henne?,2 -Greit. Jeg blir med.,1 -Jeg skal gå og prate med Rachel.,2 Jeg er doktor!,overbevise oss om at du er doktor?,1 Lyver du? Er dette som da du ville
164,1 Herregud!,Og veldig forlovet.,2 -Nei. Hun er veldig sliten.,1 -Skal vi vekke henne?,2 -Greit. Jeg blir med.,1 -Jeg skal gå og prate med Rachel.,2 Jeg er doktor!,overbevise oss om at du er doktor?
165,Hun tror vi er forlovet.,1 Herregud!,Og veldig forlovet.,2 -Nei. Hun er veldig sliten.,1 -Skal vi vekke henne?,2 -Greit. Jeg blir med.,1 -Jeg skal gå og prate med Rachel.,2 Jeg er doktor!
166,2 Hvorfor tror hun det?,Hun tror vi er forlovet.,1 Herregud!,Og veldig forlovet.,2 -Nei. Hun er veldig sliten.,1 -Skal vi vekke henne?,2 -Greit. Jeg blir med.,1 -Jeg skal gå og prate med Rachel.
167,1 Fordi du ga henne en forlovelsesring?,2 Hvorfor tror hun det?,Hun tror vi er forlovet.,1 Herregud!,Og veldig forlovet.,2 -Nei. Hun er veldig sliten.,1 -Skal vi vekke henne?,2 -Greit. Jeg blir med.
168,2 Jeg har ikke gitt henne ringen!,1 Fordi du ga henne en forlovelsesring?,2 Hvorfor tror hun det?,Hun tror vi er forlovet.,1 Herregud!,Og veldig forlovet.,2 -Nei. Hun er veldig sliten.,1 -Skal vi vekke henne?
169,"1 -Hvem sin ring er det, da?",2 Jeg har ikke gitt henne ringen!,1 Fordi du ga henne en forlovelsesring?,2 Hvorfor tror hun det?,Hun tror vi er forlovet.,1 Herregud!,Og veldig forlovet.,2 -Nei. Hun er veldig sliten.
170,2 -Min.,"1 -Hvem sin ring er det, da?",2 Jeg har ikke gitt henne ringen!,1 Fordi du ga henne en forlovelsesring?,2 Hvorfor tror hun det?,Hun tror vi er forlovet.,1 Herregud!,Og veldig forlovet.
171,1 Er det en forlovelsesring?,2 -Min.,"1 -Hvem sin ring er det, da?",2 Jeg har ikke gitt henne ringen!,1 Fordi du ga henne en forlovelsesring?,2 Hvorfor tror hun det?,Hun tror vi er forlovet.,1 Herregud!
172,2 Ja ,1 Er det en forlovelsesring?,2 -Min.,"1 -Hvem sin ring er det, da?",2 Jeg har ikke gitt henne ringen!,1 Fordi du ga henne en forlovelsesring?,2 Hvorfor tror hun det?,Hun tror vi er forlovet.
173,1 Du ga den ikke til henne?,2 Ja ,1 Er det en forlovelsesring?,2 -Min.,"1 -Hvem sin ring er det, da?",2 Jeg har ikke gitt henne ringen!,1 Fordi du ga henne en forlovelsesring?,2 Hvorfor tror hun det?
174,"2 Nei, jeg kom ikke så langt.",1 Du ga den ikke til henne?,2 Ja ,1 Er det en forlovelsesring?,2 -Min.,"1 -Hvem sin ring er det, da?",2 Jeg har ikke gitt henne ringen!,1 Fordi du ga henne en forlovelsesring?
175,1 -Men du skulle fri?,"2 Nei, jeg kom ikke så langt.",1 Du ga den ikke til henne?,2 Ja ,1 Er det en forlovelsesring?,2 -Min.,"1 -Hvem sin ring er det, da?",2 Jeg har ikke gitt henne ringen!
176,2 -Nei.,1 -Men du skulle fri?,"2 Nei, jeg kom ikke så langt.",1 Du ga den ikke til henne?,2 Ja ,1 Er det en forlovelsesring?,2 -Min.,"1 -Hvem sin ring er det, da?"
177,1 Jeg begynner å miste interessen.,2 -Nei.,1 -Men du skulle fri?,"2 Nei, jeg kom ikke så langt.",1 Du ga den ikke til henne?,2 Ja ,1 Er det en forlovelsesring?,2 -Min.
178,2 Mamma ga meg ringen fordi hun ville,1 Jeg begynner å miste interessen.,2 -Nei.,1 -Men du skulle fri?,"2 Nei, jeg kom ikke så langt.",1 Du ga den ikke til henne?,2 Ja ,1 Er det en forlovelsesring?
179,at jeg skulle fri til Rachel.,2 Mamma ga meg ringen fordi hun ville,1 Jeg begynner å miste interessen.,2 -Nei.,1 -Men du skulle fri?,"2 Nei, jeg kom ikke så langt.",1 Du ga den ikke til henne?,2 Ja 
180,Men jeg ville bare spørre,at jeg skulle fri til Rachel.,2 Mamma ga meg ringen fordi hun ville,1 Jeg begynner å miste interessen.,2 -Nei.,1 -Men du skulle fri?,"2 Nei, jeg kom ikke så langt.",1 Du ga den ikke til henne?
181,om hun kanskje ville prøve på nytt.,Men jeg ville bare spørre,at jeg skulle fri til Rachel.,2 Mamma ga meg ringen fordi hun ville,1 Jeg begynner å miste interessen.,2 -Nei.,1 -Men du skulle fri?,"2 Nei, jeg kom ikke så langt."
182,"1 For en vakker, lunken følelse.",om hun kanskje ville prøve på nytt.,Men jeg ville bare spørre,at jeg skulle fri til Rachel.,2 Mamma ga meg ringen fordi hun ville,1 Jeg begynner å miste interessen.,2 -Nei.,1 -Men du skulle fri?
183,2 Jeg ville ikke kaste meg inn i noe.,"1 For en vakker, lunken følelse.",om hun kanskje ville prøve på nytt.,Men jeg ville bare spørre,at jeg skulle fri til Rachel.,2 Mamma ga meg ringen fordi hun ville,1 Jeg begynner å miste interessen.,2 -Nei.
184,1 Men hvordan har dette skjedd?,2 Jeg ville ikke kaste meg inn i noe.,"1 For en vakker, lunken følelse.",om hun kanskje ville prøve på nytt.,Men jeg ville bare spørre,at jeg skulle fri til Rachel.,2 Mamma ga meg ringen fordi hun ville,1 Jeg begynner å miste interessen.
185,2 Fant hun ringen i jakka mi og antok,1 Men hvordan har dette skjedd?,2 Jeg ville ikke kaste meg inn i noe.,"1 For en vakker, lunken følelse.",om hun kanskje ville prøve på nytt.,Men jeg ville bare spørre,at jeg skulle fri til Rachel.,2 Mamma ga meg ringen fordi hun ville
186,at jeg ville fri og utbasunerte det?,2 Fant hun ringen i jakka mi og antok,1 Men hvordan har dette skjedd?,2 Jeg ville ikke kaste meg inn i noe.,"1 For en vakker, lunken følelse.",om hun kanskje ville prøve på nytt.,Men jeg ville bare spørre,at jeg skulle fri til Rachel.
187,1 -Nei. Hun sa at du fridde til henne.,at jeg ville fri og utbasunerte det?,2 Fant hun ringen i jakka mi og antok,1 Men hvordan har dette skjedd?,2 Jeg ville ikke kaste meg inn i noe.,"1 For en vakker, lunken følelse.",om hun kanskje ville prøve på nytt.,Men jeg ville bare spørre
188,2 -Men jeg har ikke fridd!,1 -Nei. Hun sa at du fridde til henne.,at jeg ville fri og utbasunerte det?,2 Fant hun ringen i jakka mi og antok,1 Men hvordan har dette skjedd?,2 Jeg ville ikke kaste meg inn i noe.,"1 For en vakker, lunken følelse.",om hun kanskje ville prøve på nytt.
189,1 Har jeg det?,2 -Men jeg har ikke fridd!,1 -Nei. Hun sa at du fridde til henne.,at jeg ville fri og utbasunerte det?,2 Fant hun ringen i jakka mi og antok,1 Men hvordan har dette skjedd?,2 Jeg ville ikke kaste meg inn i noe.,"1 For en vakker, lunken følelse."
190,Jeg har ikke sovet på 40 timer.,1 Har jeg det?,2 -Men jeg har ikke fridd!,1 -Nei. Hun sa at du fridde til henne.,at jeg ville fri og utbasunerte det?,2 Fant hun ringen i jakka mi og antok,1 Men hvordan har dette skjedd?,2 Jeg ville ikke kaste meg inn i noe.
191,2 Det høres ut,Jeg har ikke sovet på 40 timer.,1 Har jeg det?,2 -Men jeg har ikke fridd!,1 -Nei. Hun sa at du fridde til henne.,at jeg ville fri og utbasunerte det?,2 Fant hun ringen i jakka mi og antok,1 Men hvordan har dette skjedd?
192,som noe jeg kunne ha gjort.,2 Det høres ut,Jeg har ikke sovet på 40 timer.,1 Har jeg det?,2 -Men jeg har ikke fridd!,1 -Nei. Hun sa at du fridde til henne.,at jeg ville fri og utbasunerte det?,2 Fant hun ringen i jakka mi og antok
193,1 Vi kan ikke bli her til evig tid.,som noe jeg kunne ha gjort.,2 Det høres ut,Jeg har ikke sovet på 40 timer.,1 Har jeg det?,2 -Men jeg har ikke fridd!,1 -Nei. Hun sa at du fridde til henne.,at jeg ville fri og utbasunerte det?
194,2 Tenk at pappa så at vi hadde sex.,1 Vi kan ikke bli her til evig tid.,som noe jeg kunne ha gjort.,2 Det høres ut,Jeg har ikke sovet på 40 timer.,1 Har jeg det?,2 -Men jeg har ikke fridd!,1 -Nei. Hun sa at du fridde til henne.
195,Han fikk ikke med seg én av mine,2 Tenk at pappa så at vi hadde sex.,1 Vi kan ikke bli her til evig tid.,som noe jeg kunne ha gjort.,2 Det høres ut,Jeg har ikke sovet på 40 timer.,1 Har jeg det?,2 -Men jeg har ikke fridd!
196,"pianokonserter, men dette ser han!",Han fikk ikke med seg én av mine,2 Tenk at pappa så at vi hadde sex.,1 Vi kan ikke bli her til evig tid.,som noe jeg kunne ha gjort.,2 Det høres ut,Jeg har ikke sovet på 40 timer.,1 Har jeg det?
197,1 Vi er voksne.,"pianokonserter, men dette ser han!",Han fikk ikke med seg én av mine,2 Tenk at pappa så at vi hadde sex.,1 Vi kan ikke bli her til evig tid.,som noe jeg kunne ha gjort.,2 Det høres ut,Jeg har ikke sovet på 40 timer.
198,Vi har ikke noe å skamme oss over.,1 Vi er voksne.,"pianokonserter, men dette ser han!",Han fikk ikke med seg én av mine,2 Tenk at pappa så at vi hadde sex.,1 Vi kan ikke bli her til evig tid.,som noe jeg kunne ha gjort.,2 Det høres ut
199,2 Vi stikker trusene i lomma og går ut.,Vi har ikke noe å skamme oss over.,1 Vi er voksne.,"pianokonserter, men dette ser han!",Han fikk ikke med seg én av mine,2 Tenk at pappa så at vi hadde sex.,1 Vi kan ikke bli her til evig tid.,som noe jeg kunne ha gjort.
200,"1 Hei, pappa.",2 Vi stikker trusene i lomma og går ut.,Vi har ikke noe å skamme oss over.,1 Vi er voksne.,"pianokonserter, men dette ser han!",Han fikk ikke med seg én av mine,2 Tenk at pappa så at vi hadde sex.,1 Vi kan ikke bli her til evig tid.
201,Jeg får vel kalle deg det?,"1 Hei, pappa.",2 Vi stikker trusene i lomma og går ut.,Vi har ikke noe å skamme oss over.,1 Vi er voksne.,"pianokonserter, men dette ser han!",Han fikk ikke med seg én av mine,2 Tenk at pappa så at vi hadde sex.
202,2 Selvsagt.,Jeg får vel kalle deg det?,"1 Hei, pappa.",2 Vi stikker trusene i lomma og går ut.,Vi har ikke noe å skamme oss over.,1 Vi er voksne.,"pianokonserter, men dette ser han!",Han fikk ikke med seg én av mine
203,Jeg vil alltid være din far.,2 Selvsagt.,Jeg får vel kalle deg det?,"1 Hei, pappa.",2 Vi stikker trusene i lomma og går ut.,Vi har ikke noe å skamme oss over.,1 Vi er voksne.,"pianokonserter, men dette ser han!"
204,"1 Det du så der inne, var ikke for gøy.",Jeg vil alltid være din far.,2 Selvsagt.,Jeg får vel kalle deg det?,"1 Hei, pappa.",2 Vi stikker trusene i lomma og går ut.,Vi har ikke noe å skamme oss over.,1 Vi er voksne.
205,2 -Var det ikke gøy?,"1 Det du så der inne, var ikke for gøy.",Jeg vil alltid være din far.,2 Selvsagt.,Jeg får vel kalle deg det?,"1 Hei, pappa.",2 Vi stikker trusene i lomma og går ut.,Vi har ikke noe å skamme oss over.
206,-Hvorfor vil du. .?,2 -Var det ikke gøy?,"1 Det du så der inne, var ikke for gøy.",Jeg vil alltid være din far.,2 Selvsagt.,Jeg får vel kalle deg det?,"1 Hei, pappa.",2 Vi stikker trusene i lomma og går ut.
207,1 Du må ikke tro at vi er dyr,-Hvorfor vil du. .?,2 -Var det ikke gøy?,"1 Det du så der inne, var ikke for gøy.",Jeg vil alltid være din far.,2 Selvsagt.,Jeg får vel kalle deg det?,"1 Hei, pappa."
208,som gjør det når vi får lyst.,1 Du må ikke tro at vi er dyr,-Hvorfor vil du. .?,2 -Var det ikke gøy?,"1 Det du så der inne, var ikke for gøy.",Jeg vil alltid være din far.,2 Selvsagt.,Jeg får vel kalle deg det?
209,2 Det tror jeg ikke. Før tenkte jeg,som gjør det når vi får lyst.,1 Du må ikke tro at vi er dyr,-Hvorfor vil du. .?,2 -Var det ikke gøy?,"1 Det du så der inne, var ikke for gøy.",Jeg vil alltid være din far.,2 Selvsagt.
210,ikke engang på at dere hadde sex.,2 Det tror jeg ikke. Før tenkte jeg,som gjør det når vi får lyst.,1 Du må ikke tro at vi er dyr,-Hvorfor vil du. .?,2 -Var det ikke gøy?,"1 Det du så der inne, var ikke for gøy.",Jeg vil alltid være din far.
211,1 Det var enklere da.,ikke engang på at dere hadde sex.,2 Det tror jeg ikke. Før tenkte jeg,som gjør det når vi får lyst.,1 Du må ikke tro at vi er dyr,-Hvorfor vil du. .?,2 -Var det ikke gøy?,"1 Det du så der inne, var ikke for gøy."
212,Sannheten er at vi prøver å bIi gravide.,1 Det var enklere da.,ikke engang på at dere hadde sex.,2 Det tror jeg ikke. Før tenkte jeg,som gjør det når vi får lyst.,1 Du må ikke tro at vi er dyr,-Hvorfor vil du. .?,2 -Var det ikke gøy?
213,2 -Så spennende!,Sannheten er at vi prøver å bIi gravide.,1 Det var enklere da.,ikke engang på at dere hadde sex.,2 Det tror jeg ikke. Før tenkte jeg,som gjør det når vi får lyst.,1 Du må ikke tro at vi er dyr,-Hvorfor vil du. .?
214,1 lnn med dere!,2 -Så spennende!,Sannheten er at vi prøver å bIi gravide.,1 Det var enklere da.,ikke engang på at dere hadde sex.,2 Det tror jeg ikke. Før tenkte jeg,som gjør det når vi får lyst.,1 Du må ikke tro at vi er dyr
215,2 Jeg skal holde vakt.,1 lnn med dere!,2 -Så spennende!,Sannheten er at vi prøver å bIi gravide.,1 Det var enklere da.,ikke engang på at dere hadde sex.,2 Det tror jeg ikke. Før tenkte jeg,som gjør det når vi får lyst.
216,1 -Vi kan vente til senere.,2 Jeg skal holde vakt.,1 lnn med dere!,2 -Så spennende!,Sannheten er at vi prøver å bIi gravide.,1 Det var enklere da.,ikke engang på at dere hadde sex.,2 Det tror jeg ikke. Før tenkte jeg
217,2 -Har du ikke eggløsning?,1 -Vi kan vente til senere.,2 Jeg skal holde vakt.,1 lnn med dere!,2 -Så spennende!,Sannheten er at vi prøver å bIi gravide.,1 Det var enklere da.,ikke engang på at dere hadde sex.
218,1 Du må kjøre på.,2 -Har du ikke eggløsning?,1 -Vi kan vente til senere.,2 Jeg skal holde vakt.,1 lnn med dere!,2 -Så spennende!,Sannheten er at vi prøver å bIi gravide.,1 Det var enklere da.
